Issue_Key,Summary,Role,Assignee,Priority,Created_Date,Last_Updated_Date,Status_Current,Status_Entered_Date,Resolved_Date,Estimate_Hrs,Actual_Hrs,Delay_Rate,Re_open_Count,Handoff_Count,SLA_Hours,SLA_Breached,Lead_Time_Hours,Root_Cause_Category,Blocked_Reason,Upstream_Team,Downstream_Team
LUANTA-2093,Cross-border payment gateway callback issue,Backend,Alex,P2-Medium,2025-01-01,2025-01-02 02:53:05.124049159,Done,2025-01-01 13:03:14.923451399,2025-01-02 13:18:00,9,18.9,110.1,2,3,120,N,37.3,API Dependency,,Internal Platform,Client Ops
LUANTA-2104,New Slot Game API end-point validation,Backend,Alex,P1-High,2025-01-01,2025-01-01 18:34:25.081527212,Done,2025-01-01 05:29:37.012442518,2025-01-01 19:12:00,7,11.7,67.4,1,1,72,N,19.2,API Dependency,,Internal Platform,Client Ops
LUANTA-2028,Database deadlock investigation during peak hours,Backend,Ben,P1-High,2025-01-02,2025-01-03 17:09:16.359837066,Done,2025-01-03 00:47:30.924693234,2025-01-03 21:06:00,15,21.9,46.2,0,0,72,N,45.1,Data / DB,,Compliance,Finance
LUANTA-2036,MG Wallet API Integration for Operator A,Backend,Cindy,P2-Medium,2025-01-02,2025-01-03 13:52:51.741935864,Blocked,2025-01-03 10:01:43.557568564,,15,31.0,107.0,2,3,120,N,,API Dependency,Waiting for vendor/PSP response,N/A,Finance
LUANTA-2182,WebSocket disconnection issue on iOS,Frontend,Fiona,P3-Low,2025-01-04,2025-01-04 22:52:22.214876851,To Do,2025-01-04 15:47:46.909292291,,13,17.7,36.0,0,1,240,N,,Spec / Requirement,,N/A,CS
LUANTA-2068,Market research on Asian payment trends,Product Manager,Sam,P2-Medium,2025-01-04,2025-01-04 11:08:04.762009536,Done,2025-01-04 06:51:58.227939000,2025-01-04 11:42:00,4,5.4,34.7,0,0,120,N,11.7,Payments / PSP,,Compliance,CS
LUANTA-2084,Cross-border payment gateway callback issue,Backend,Alex,P1-High,2025-01-07,2025-01-07 22:58:36.266446880,Review,2025-01-07 10:54:21.967794323,,11,16.4,48.7,2,2,72,N,,API Dependency,,PSP Vendor,CS
LUANTA-2007,Market research on Asian payment trends,Product Manager,Taylor,P3-Low,2025-01-14,2025-01-15 03:06:28.801166641,Done,2025-01-14 22:47:23.796341234,2025-01-15 05:00:00,13,14.6,12.2,0,0,240,N,29.0,Payments / PSP,,Internal Platform,Finance
LUANTA-2184,Cross-border payment gateway callback issue,Backend,Derek,P1-High,2025-01-17,2025-01-17 20:29:52.487616044,Review,2025-01-17 11:13:46.595759517,,12,24.0,99.7,1,3,72,N,,API Dependency,,MG HQ,Finance
LUANTA-2088,Casino lobby dark mode design,UI/UX,Sam,P1-High,2025-01-19,2025-01-19 09:41:47.494875264,Done,2025-01-19 02:51:04.787611569,2025-01-19 09:42:00,5,5.9,18.7,0,1,72,N,9.7,Spec / Requirement,,N/A,N/A
LUANTA-2167,WebSocket disconnection issue on iOS,Frontend,Grace,P3-Low,2025-01-19,2025-01-19 07:06:12.405363944,Done,2025-01-19 03:14:15.005393316,2025-01-19 08:12:00,4,5.2,31.0,0,0,240,N,8.2,Spec / Requirement,,N/A,Client Ops
LUANTA-2103,Cross-border payment gateway callback issue,Backend,Cindy,P3-Low,2025-01-23,2025-01-24 13:09:14.976967881,Done,2025-01-23 09:10:39.708764895,2025-01-24 19:12:00,8,20.3,153.4,2,2,240,N,43.2,API Dependency,,N/A,CS
LUANTA-2080,Bonus system calculation logic fix,Backend,Derek,P1-High,2025-01-25,2025-01-26 03:13:42.042885484,Review,2025-01-25 09:17:43.287103105,,14,23.2,65.5,2,2,72,N,,Spec / Requirement,,PSP Vendor,CS
LUANTA-2132,Game Asset loading speed improvement,Frontend,Grace,P2-Medium,2025-01-26,2025-01-27 07:26:56.681496686,Done,2025-01-26 06:40:43.616824968,2025-01-27 08:48:00,15,16.2,8.2,0,0,120,N,32.8,Game Feature / Content,,PSP Vendor,N/A
LUANTA-2185,MG Wallet API Integration for Operator A,Backend,Cindy,P0-Critical,2025-01-27,2025-01-27 20:36:39.287891505,QA,2025-01-27 10:39:42.990492184,2025-01-28 09:42:00,9,20.5,127.9,0,1,24,Y,33.7,API Dependency,,N/A,CS
LUANTA-2085,Integration of new promotional banners,Frontend,Fiona,P1-High,2025-01-29,2025-01-29 12:32:02.263264425,Done,2025-01-29 08:04:26.777673808,2025-01-29 18:00:00,9,12.6,39.5,0,0,72,N,18.0,API Dependency,,Internal Platform,Finance
LUANTA-2166,Post-mortem report for API downtime event,Product Manager,Taylor,P3-Low,2025-02-01,2025-02-01 04:43:54.850801728,Review,2025-02-01 02:05:00.525274933,,4,4.1,1.5,0,1,240,N,,API Dependency,,Compliance,Finance
LUANTA-2130,New player registration flow optimization,UI/UX,Sam,P2-Medium,2025-02-05,2025-02-05 11:12:06.113765541,In Progress,2025-02-05 05:32:11.876952985,,7,9.7,38.8,0,0,120,N,,Spec / Requirement,,Internal Platform,Finance
LUANTA-2091,Cross-border payment gateway callback issue,Backend,Ben,P3-Low,2025-02-13,2025-02-13 15:57:47.231048883,Done,2025-02-13 13:54:39.616844529,2025-02-13 23:30:00,8,11.6,45.2,2,2,240,N,23.5,API Dependency,,Internal Platform,Finance
LUANTA-2071,Post-mortem report for API downtime event,Product Manager,Taylor,P3-Low,2025-02-13,2025-02-14 03:34:39.724746157,Done,2025-02-13 20:01:54.229159684,2025-02-14 04:36:00,15,15.6,4.0,0,1,240,N,28.6,API Dependency,,Compliance,Client Ops
LUANTA-2022,Compliance audit for European regulators,Product Manager,Taylor,P3-Low,2025-02-13,2025-02-14 02:39:05.347173916,Done,2025-02-13 15:25:13.943896883,2025-02-14 06:54:00,14,15.8,13.0,0,0,240,N,30.9,Spec / Requirement,,N/A,CS
LUANTA-2117,Database deadlock investigation during peak hours,Backend,Cindy,P1-High,2025-02-15,2025-02-15 07:37:09.721358594,QA,2025-02-15 03:02:29.358115332,2025-02-15 12:24:00,4,8.0,100.4,1,3,72,N,12.4,Data / DB,,PSP Vendor,Client Ops
LUANTA-2118,MG Wallet API Integration for Operator A,Backend,Ben,P0-Critical,2025-02-16,2025-02-16 17:38:37.095561556,Done,2025-02-16 14:36:25.661082563,2025-02-17 05:18:00,9,13.5,49.8,2,2,24,Y,29.3,API Dependency,,N/A,CS
LUANTA-2016,Post-mortem report for API downtime event,Product Manager,Sam,P1-High,2025-02-17,2025-02-17 09:37:13.004707760,Done,2025-02-17 03:30:26.084630548,2025-02-17 15:30:00,6,7.4,23.7,0,0,72,N,15.5,API Dependency,,PSP Vendor,N/A
LUANTA-2009,E-ticket module style customization,UI/UX,Sam,P3-Low,2025-02-19,2025-02-19 09:51:20.627393007,Done,2025-02-19 04:12:56.480416141,2025-02-19 11:42:00,5,5.9,17.0,0,1,240,N,11.7,Spec / Requirement,,Internal Platform,N/A
LUANTA-2156,Cross-border payment gateway callback issue,Backend,Cindy,P2-Medium,2025-02-20,2025-02-21 10:03:42.950882588,Done,2025-02-21 04:29:15.137238169,2025-02-21 13:00:00,11,26.5,140.9,2,2,120,N,37.0,API Dependency,,N/A,Client Ops
LUANTA-2112,Database deadlock investigation during peak hours,Backend,Cindy,P3-Low,2025-02-22,2025-02-23 09:56:11.583811129,Blocked,2025-02-22 19:22:00.810874370,,14,29.3,109.6,0,1,240,N,,Data / DB,Awaiting UAT sign-off,N/A,N/A
LUANTA-2056,Game Asset loading speed improvement,Frontend,Grace,P3-Low,2025-02-23,2025-02-23 19:49:44.438283375,Done,2025-02-23 14:16:09.852549483,2025-02-23 21:06:00,15,17.0,13.1,0,0,240,N,21.1,Game Feature / Content,,N/A,Client Ops
LUANTA-2106,E-ticket module style customization,UI/UX,Taylor,P1-High,2025-02-23,2025-02-23 06:58:35.036730793,Done,2025-02-23 04:16:48.611388922,2025-02-23 11:12:00,8,8.3,3.5,0,1,72,N,11.2,Spec / Requirement,,PSP Vendor,Finance
LUANTA-2169,Requirement doc for wash-requirement logic,Product Manager,Sam,P1-High,2025-02-24,2025-02-25 00:56:32.813424513,In Progress,2025-02-24 16:23:50.464170098,,13,14.4,10.8,0,1,72,N,,Spec / Requirement,,N/A,Client Ops
LUANTA-2189,User experience audit for sports betting module,UI/UX,Sam,P3-Low,2025-02-24,2025-02-24 22:25:58.187189251,To Do,2025-02-24 09:11:15.993766092,,11,11.9,8.6,0,0,240,N,,Spec / Requirement,,N/A,Client Ops
LUANTA-2115,New player registration flow optimization,UI/UX,Sam,P2-Medium,2025-03-02,2025-03-02 11:59:48.236450175,Done,2025-03-02 04:25:34.750859033,2025-03-02 13:12:00,6,6.1,1.6,0,1,120,N,13.2,Spec / Requirement,,N/A,Client Ops
LUANTA-2021,New player registration flow optimization,UI/UX,Sam,P1-High,2025-03-07,2025-03-07 16:47:37.114042549,Done,2025-03-07 07:08:59.292435947,2025-03-07 19:06:00,12,12.5,4.2,0,1,72,N,19.1,Spec / Requirement,,MG HQ,Client Ops
LUANTA-2125,MG Wallet API Integration for Operator A,Backend,Ben,P2-Medium,2025-03-08,2025-03-08 11:02:06.959875390,Done,2025-03-08 03:24:28.046520594,2025-03-08 11:48:00,5,7.5,50.4,1,2,120,N,11.8,API Dependency,,Compliance,N/A
LUANTA-2183,WebSocket disconnection issue on iOS,Frontend,Fiona,P1-High,2025-03-16,2025-03-16 10:54:15.376322854,Done,2025-03-16 08:51:16.152868348,2025-03-16 17:42:00,8,10.6,32.6,0,1,72,N,17.7,Spec / Requirement,,N/A,Client Ops
LUANTA-2074,Cross-border payment gateway callback issue,Backend,Ben,P1-High,2025-03-16,2025-03-16 23:45:24.761756296,Done,2025-03-16 09:27:42.190890351,2025-03-17 10:54:00,11,25.1,128.2,2,2,72,N,34.9,API Dependency,,Compliance,Finance
LUANTA-2083,Risk control dashboard redesign,UI/UX,Taylor,P1-High,2025-03-17,2025-03-17 15:00:51.461268422,Done,2025-03-17 08:54:14.817832057,2025-03-17 23:06:00,13,17.4,33.5,0,1,72,N,23.1,Spec / Requirement,,PSP Vendor,CS
LUANTA-2098,Casino lobby dark mode design,UI/UX,Sam,P3-Low,2025-03-23,2025-03-23 13:28:13.613714749,Done,2025-03-23 10:09:42.714034286,2025-03-23 16:48:00,8,10.0,24.5,0,0,240,N,16.8,Spec / Requirement,,Compliance,N/A
LUANTA-2124,Database deadlock investigation during peak hours,Backend,Ben,P3-Low,2025-03-27,2025-03-28 08:19:50.552572566,Review,2025-03-28 00:12:18.915361470,,15,25.2,68.0,0,0,240,N,,Data / DB,,MG HQ,N/A
LUANTA-2064,Mobile lobby UI rendering optimization,Frontend,Ethan,P1-High,2025-03-27,2025-03-28 00:22:02.407807034,Review,2025-03-27 12:21:03.890268172,,15,15.3,1.8,0,0,72,N,,Spec / Requirement,,Internal Platform,Client Ops
LUANTA-2199,Database deadlock investigation during peak hours,Backend,Ben,P1-High,2025-03-27,2025-03-27 22:11:40.839294310,Done,2025-03-27 11:50:17.518932151,2025-03-27 23:36:00,10,14.4,44.1,1,2,72,N,23.6,Data / DB,,Compliance,N/A
LUANTA-2170,Multi-language localization update (Thai/Vietnamese),Frontend,Grace,P2-Medium,2025-03-28,2025-03-28 09:00:15.691243968,Done,2025-03-28 08:04:13.899590112,2025-03-28 13:36:00,5,6.7,34.7,0,1,120,N,13.6,Spec / Requirement,,Internal Platform,CS
LUANTA-2134,Post-mortem report for API downtime event,Product Manager,Sam,P1-High,2025-03-31,2025-04-01 08:37:31.684592110,Done,2025-03-31 21:55:53.163983363,2025-04-01 12:30:00,14,19.2,37.3,0,0,72,N,36.5,API Dependency,,Compliance,Client Ops
LUANTA-2008,Bonus system calculation logic fix,Backend,Ben,P1-High,2025-04-02,2025-04-02 21:48:22.947848607,Done,2025-04-02 16:47:46.653020608,2025-04-03 08:12:00,10,21.3,113.2,2,2,72,N,32.2,Spec / Requirement,,PSP Vendor,Finance
LUANTA-2105,Market research on Asian payment trends,Product Manager,Sam,P0-Critical,2025-04-05,2025-04-06 13:49:24.264941332,Done,2025-04-06 07:27:39.771440299,2025-04-07 05:24:00,13,26.3,102.4,1,2,24,Y,53.4,Payments / PSP,,Compliance,N/A
LUANTA-2076,Post-mortem report for API downtime event,Product Manager,Taylor,P1-High,2025-04-06,2025-04-07 07:12:13.875572203,Done,2025-04-06 23:26:37.888179883,2025-04-07 11:18:00,15,17.6,17.2,0,1,72,N,35.3,API Dependency,,Compliance,Finance
LUANTA-2026,Risk control dashboard redesign,UI/UX,Taylor,P1-High,2025-04-06,2025-04-06 12:35:57.985106226,Done,2025-04-06 04:09:11.150400514,2025-04-06 12:42:00,7,8.0,14.5,0,0,72,N,12.7,Spec / Requirement,,Compliance,Client Ops
LUANTA-2031,Requirement doc for wash-requirement logic,Product Manager,Sam,P2-Medium,2025-04-08,2025-04-08 05:19:15.923593423,Done,2025-04-08 03:09:29.414454039,2025-04-08 06:18:00,4,4.2,6.0,0,1,120,N,6.3,Spec / Requirement,,PSP Vendor,N/A
LUANTA-2037,Casino lobby dark mode design,UI/UX,Sam,P1-High,2025-04-09,2025-04-09 09:27:04.902894529,Done,2025-04-09 02:33:51.837744608,2025-04-09 15:12:00,6,8.1,34.3,0,0,72,N,15.2,Spec / Requirement,,PSP Vendor,N/A
LUANTA-2143,Requirement doc for wash-requirement logic,Product Manager,Sam,P2-Medium,2025-04-14,2025-04-14 12:21:33.279783757,Done,2025-04-14 08:07:14.108754703,2025-04-14 14:36:00,9,10.9,21.6,0,0,120,N,14.6,Spec / Requirement,,PSP Vendor,N/A
LUANTA-2145,Game Asset loading speed improvement,Frontend,Fiona,P2-Medium,2025-04-14,2025-04-14 09:04:08.476475847,Done,2025-04-14 07:52:43.187627851,2025-04-14 14:42:00,10,10.5,4.7,0,1,120,N,14.7,Game Feature / Content,,Internal Platform,N/A
LUANTA-2057,Post-mortem report for API downtime event,Product Manager,Taylor,P2-Medium,2025-04-18,2025-04-18 11:49:31.305822164,Done,2025-04-18 06:36:33.632624337,2025-04-18 12:24:00,10,10.3,3.4,0,0,120,N,12.4,API Dependency,,Internal Platform,N/A
LUANTA-2081,Post-mortem report for API downtime event,Product Manager,Taylor,P2-Medium,2025-04-19,2025-04-20 07:49:04.538299616,Done,2025-04-19 16:00:25.151664303,2025-04-20 12:00:00,13,18.1,39.0,0,0,120,N,36.0,API Dependency,,PSP Vendor,Finance
LUANTA-2154,Multi-language localization update (Thai/Vietnamese),Frontend,Grace,P1-High,2025-04-21,2025-04-21 23:57:33.086738772,Done,2025-04-21 05:23:34.700910673,2025-04-22 11:48:00,14,19.2,37.3,0,0,72,N,35.8,Spec / Requirement,,Internal Platform,Client Ops
LUANTA-2107,User experience audit for sports betting module,UI/UX,Sam,P2-Medium,2025-04-22,2025-04-22 12:09:38.694544189,Done,2025-04-22 10:36:08.111859879,2025-04-22 19:06:00,8,10.0,25.6,0,1,120,N,19.1,Spec / Requirement,,PSP Vendor,CS
LUANTA-2168,New player registration flow optimization,UI/UX,Sam,P2-Medium,2025-04-23,2025-04-23 15:45:28.335680352,Done,2025-04-23 04:17:15.886724989,2025-04-23 23:24:00,9,11.8,30.6,0,0,120,N,23.4,Spec / Requirement,,PSP Vendor,Client Ops
LUANTA-2073,Mobile lobby UI rendering optimization,Frontend,Fiona,P2-Medium,2025-04-25,2025-04-25 17:15:39.561010909,Done,2025-04-25 03:56:54.757979464,2025-04-25 17:24:00,10,10.5,4.7,0,0,120,N,17.4,Spec / Requirement,,Compliance,Finance
LUANTA-2151,Game Asset loading speed improvement,Frontend,Ethan,P0-Critical,2025-04-25,2025-04-25 19:58:38.346791077,Review,2025-04-25 07:26:11.362088157,,7,14.4,105.1,0,1,24,N,,Game Feature / Content,,N/A,CS
LUANTA-2038,Game Asset loading speed improvement,Frontend,Grace,P2-Medium,2025-04-26,2025-04-26 05:17:56.644080547,To Do,2025-04-26 01:18:10.399351122,,4,4.3,6.5,0,1,120,N,,Game Feature / Content,,PSP Vendor,N/A
LUANTA-2062,Mobile lobby UI rendering optimization,Frontend,Ethan,P1-High,2025-04-28,2025-04-28 16:55:13.274650178,Done,2025-04-28 08:46:28.557623152,2025-04-28 19:48:00,11,15.1,37.4,0,1,72,N,19.8,Spec / Requirement,,N/A,Finance
LUANTA-2131,Q3 Roadmap planning and stakeholder review,Product Manager,Sam,P0-Critical,2025-04-28,2025-04-29 14:32:48.784521231,Blocked,2025-04-28 21:38:05.570724925,,11,24.9,126.7,2,3,24,N,,Spec / Requirement,Waiting for vendor/PSP response,Internal Platform,Finance
LUANTA-2177,Multi-language localization update (Thai/Vietnamese),Frontend,Fiona,P1-High,2025-04-29,2025-04-29 09:32:30.319717405,Done,2025-04-29 03:59:45.878321710,2025-04-29 14:30:00,7,8.7,25.0,0,0,72,N,14.5,Spec / Requirement,,MG HQ,CS
LUANTA-2123,User experience audit for sports betting module,UI/UX,Sam,P1-High,2025-04-29,2025-04-30 02:07:24.748190400,Done,2025-04-29 06:09:23.745664071,2025-04-30 02:42:00,15,15.1,0.8,0,1,72,N,26.7,Spec / Requirement,,PSP Vendor,Client Ops
LUANTA-2029,Database deadlock investigation during peak hours,Backend,Ben,P2-Medium,2025-05-06,2025-05-06 22:28:50.721793622,Blocked,2025-05-06 06:15:08.473207115,,8,15.9,98.7,2,2,120,N,,Data / DB,Waiting for HQ API clarification,MG HQ,CS
LUANTA-2180,Risk control dashboard redesign,UI/UX,Sam,P3-Low,2025-05-08,2025-05-08 07:38:49.572075019,Done,2025-05-08 03:35:15.583105927,2025-05-08 09:12:00,5,5.0,0.9,0,1,240,N,9.2,Spec / Requirement,,MG HQ,CS
