Issue_Key,Summary,Role,Assignee,Priority,Created_Date,Last_Updated_Date,Status_Current,Status_Entered_Date,Resolved_Date,Estimate_Hrs,Actual_Hrs,Delay_Rate,Re_open_Count,Handoff_Count,SLA_Hours,SLA_Breached,Lead_Time_Hours,Root_Cause_Category,Blocked_Reason,Upstream_Team,Downstream_Team
LUANTA-2181,Mobile lobby UI rendering optimization,Frontend,Ethan,P2-Medium,2025-08-25,2025-08-25 14:38:58.745596092,Done,2025-08-25 06:10:56.131404270,2025-08-25 19:24:00,10,10.9,8.7,0,1,120,N,19.4,Spec / Requirement,,PSP Vendor,N/A
LUANTA-2043,Integration of new promotional banners,Frontend,Ethan,P1-High,2025-08-26,2025-08-26 10:42:15.995422551,Done,2025-08-26 08:48:35.649092338,2025-08-26 12:30:00,6,8.1,35.7,0,1,72,N,12.5,API Dependency,,PSP Vendor,Client Ops
LUANTA-2172,Post-mortem report for API downtime event,Product Manager,Taylor,P1-High,2025-08-27,2025-08-27 08:45:43.993227092,Review,2025-08-27 05:23:41.049394953,,6,8.1,35.5,0,1,72,N,,API Dependency,,PSP Vendor,Finance
LUANTA-2072,Game Asset loading speed improvement,Frontend,Grace,P0-Critical,2025-08-30,2025-08-30 12:26:30.983116646,Done,2025-08-30 03:35:09.587245127,2025-08-30 18:12:00,10,14.9,48.5,0,0,24,N,18.2,Game Feature / Content,,Internal Platform,Client Ops
LUANTA-2171,Requirement doc for wash-requirement logic,Product Manager,Sam,P0-Critical,2025-09-04,2025-09-05 07:30:37.346379015,In Progress,2025-09-04 09:28:19.613782264,,11,18.0,63.5,1,2,24,N,,Spec / Requirement,,MG HQ,Client Ops
LUANTA-2067,Requirement doc for wash-requirement logic,Product Manager,Sam,P1-High,2025-09-07,2025-09-07 17:26:10.009207057,Done,2025-09-07 11:56:47.926272233,2025-09-08 02:12:00,13,15.6,20.0,0,1,72,N,26.2,Spec / Requirement,,Internal Platform,Finance
LUANTA-2039,Game Asset loading speed improvement,Frontend,Ethan,P2-Medium,2025-09-11,2025-09-11 20:03:27.067281238,In Progress,2025-09-11 06:26:22.855574436,,12,15.2,26.5,0,1,120,N,,Game Feature / Content,,PSP Vendor,CS
LUANTA-2152,Database deadlock investigation during peak hours,Backend,Derek,P3-Low,2025-09-11,2025-09-12 03:39:42.634080414,Done,2025-09-11 15:21:18.807247399,2025-09-12 05:36:00,11,23.1,110.0,0,2,240,N,29.6,Data / DB,,MG HQ,Client Ops
LUANTA-2165,Post-mortem report for API downtime event,Product Manager,Taylor,P2-Medium,2025-09-14,2025-09-14 19:36:51.725020129,In Progress,2025-09-14 17:32:23.979607408,,10,11.7,17.1,0,1,120,N,,API Dependency,,PSP Vendor,Client Ops
LUANTA-2196,Post-mortem report for API downtime event,Product Manager,Sam,P3-Low,2025-09-21,2025-09-21 07:04:21.125396704,Done,2025-09-21 01:26:03.651767999,2025-09-21 08:36:00,4,5.1,26.4,0,0,240,N,8.6,API Dependency,,Compliance,Client Ops
LUANTA-2137,New Slot Game API end-point validation,Backend,Ben,P0-Critical,2025-09-22,2025-09-23 22:46:53.020623482,Done,2025-09-22 09:53:57.182287930,2025-09-24 02:00:00,11,23.4,112.7,1,2,24,Y,50.0,API Dependency,,Compliance,CS
LUANTA-2188,Game Asset loading speed improvement,Frontend,Ethan,P0-Critical,2025-09-24,2025-09-25 03:53:29.769505634,QA,2025-09-25 00:58:02.729680995,2025-09-25 04:00:00,7,15.8,126.3,0,1,24,Y,28.0,Game Feature / Content,,PSP Vendor,N/A
LUANTA-2027,Database deadlock investigation during peak hours,Backend,Alex,P1-High,2025-09-25,2025-09-25 11:37:20.996007841,Done,2025-09-25 07:04:51.508989093,2025-09-25 17:42:00,6,10.6,76.1,0,0,72,N,17.7,Data / DB,,PSP Vendor,Client Ops
LUANTA-2011,Multi-language localization update (Thai/Vietnamese),Frontend,Grace,P1-High,2025-09-27,2025-09-27 19:00:53.557867303,Done,2025-09-27 05:29:31.919120626,2025-09-28 00:24:00,12,16.6,38.4,0,1,72,N,24.4,Spec / Requirement,,Compliance,Finance
LUANTA-2000,Casino lobby dark mode design,UI/UX,Taylor,P2-Medium,2025-09-28,2025-09-28 15:44:46.337984898,Done,2025-09-28 13:02:22.610635876,2025-09-28 20:48:00,11,13.6,23.9,0,1,120,N,20.8,Spec / Requirement,,Compliance,Finance
LUANTA-2050,Risk control dashboard redesign,UI/UX,Sam,P2-Medium,2025-09-30,2025-09-30 16:44:54.680663940,Done,2025-09-30 13:40:16.510474104,2025-10-01 02:30:00,12,15.4,28.1,0,0,120,N,26.5,Spec / Requirement,,N/A,Finance
LUANTA-2122,New player registration flow optimization,UI/UX,Taylor,P2-Medium,2025-10-01,2025-10-01 16:08:53.390533955,Done,2025-10-01 09:17:26.481720701,2025-10-01 17:54:00,9,10.9,21.3,0,0,120,N,17.9,Spec / Requirement,,N/A,Client Ops
LUANTA-2194,Integration of new promotional banners,Frontend,Fiona,P2-Medium,2025-10-02,2025-10-02 18:43:08.331544138,To Do,2025-10-02 11:53:28.735530659,,15,19.8,32.3,0,1,120,N,,API Dependency,,N/A,Client Ops
LUANTA-2133,Multi-language localization update (Thai/Vietnamese),Frontend,Ethan,P1-High,2025-10-02,2025-10-02 08:16:16.223244960,Done,2025-10-02 03:14:09.382610247,2025-10-02 10:30:00,4,5.2,29.4,0,1,72,N,10.5,Spec / Requirement,,N/A,CS
LUANTA-2044,Risk control dashboard redesign,UI/UX,Sam,P2-Medium,2025-10-04,2025-10-05 02:16:43.369475185,In Progress,2025-10-04 06:11:06.207346195,,15,19.0,26.8,0,1,120,N,,Spec / Requirement,,Internal Platform,Finance
LUANTA-2179,Mobile lobby UI rendering optimization,Frontend,Ethan,P2-Medium,2025-10-07,2025-10-07 14:19:17.382277225,Done,2025-10-07 08:49:29.521106314,2025-10-07 21:18:00,13,15.9,22.6,0,1,120,N,21.3,Spec / Requirement,,PSP Vendor,Finance
LUANTA-2079,E-ticket module style customization,UI/UX,Sam,P0-Critical,2025-10-11,2025-10-11 20:07:24.190612413,QA,2025-10-11 08:10:36.149102748,2025-10-11 20:54:00,6,11.9,99.2,0,2,24,N,20.9,Spec / Requirement,,PSP Vendor,Finance
LUANTA-2099,WebSocket disconnection issue on iOS,Frontend,Grace,P0-Critical,2025-10-13,2025-10-13 16:29:48.668172882,Done,2025-10-13 10:57:45.832727433,2025-10-14 02:42:00,14,20.4,45.4,0,1,24,Y,26.7,Spec / Requirement,,PSP Vendor,N/A
LUANTA-2141,New Slot Game API end-point validation,Backend,Cindy,P1-High,2025-10-13,2025-10-13 16:50:35.967154750,Done,2025-10-13 13:13:41.767984392,2025-10-14 00:18:00,8,13.0,62.4,0,0,72,N,24.3,API Dependency,,Compliance,CS
LUANTA-2054,Requirement doc for wash-requirement logic,Product Manager,Sam,P2-Medium,2025-10-15,2025-10-15 13:28:34.630190274,Done,2025-10-15 02:51:59.662488496,2025-10-15 18:48:00,12,12.7,6.2,0,1,120,N,18.8,Spec / Requirement,,Compliance,Finance
LUANTA-2148,Bonus system calculation logic fix,Backend,Derek,P1-High,2025-10-16,2025-10-17 06:00:43.844181897,Done,2025-10-16 18:31:03.013210787,2025-10-17 13:42:00,9,20.3,125.7,0,1,72,N,37.7,Spec / Requirement,,N/A,Client Ops
LUANTA-2041,Post-mortem report for API downtime event,Product Manager,Taylor,P2-Medium,2025-10-16,2025-10-16 12:51:09.008156775,Done,2025-10-16 04:39:04.586455447,2025-10-16 15:24:00,7,8.0,14.7,0,0,120,N,15.4,API Dependency,,MG HQ,N/A
LUANTA-2128,Cross-border payment gateway callback issue,Backend,Derek,P1-High,2025-10-16,2025-10-16 23:31:14.958174136,Done,2025-10-16 19:05:32.522041031,2025-10-17 05:30:00,9,15.0,67.0,0,0,72,N,29.5,API Dependency,,Internal Platform,N/A
LUANTA-2173,Requirement doc for wash-requirement logic,Product Manager,Taylor,P1-High,2025-10-18,2025-10-18 07:59:02.188630201,Done,2025-10-18 03:00:52.048893511,2025-10-18 12:36:00,7,9.6,37.8,0,0,72,N,12.6,Spec / Requirement,,PSP Vendor,Client Ops
LUANTA-2087,Bonus system calculation logic fix,Backend,Ben,P2-Medium,2025-10-19,2025-10-19 20:38:42.081561672,Review,2025-10-19 12:57:20.011672763,,6,14.0,133.3,1,2,120,N,,Spec / Requirement,,N/A,N/A
LUANTA-2149,Integration of new promotional banners,Frontend,Fiona,P1-High,2025-10-21,2025-10-21 11:09:19.730561292,In Progress,2025-10-21 06:33:12.981807127,,7,8.3,18.3,0,1,72,N,,API Dependency,,PSP Vendor,CS
LUANTA-2160,Database deadlock investigation during peak hours,Backend,Cindy,P3-Low,2025-10-21,2025-10-21 19:14:17.873895501,In Progress,2025-10-21 09:10:57.929431008,,10,18.2,81.6,1,3,240,N,,Data / DB,,MG HQ,Client Ops
LUANTA-2035,New Slot Game API end-point validation,Backend,Cindy,P1-High,2025-10-25,2025-10-26 09:00:39.345876223,Done,2025-10-25 22:15:37.474984086,2025-10-26 14:24:00,10,21.9,119.2,2,2,72,N,38.4,API Dependency,,Internal Platform,N/A
LUANTA-2047,Cross-border payment gateway callback issue,Backend,Alex,P3-Low,2025-10-29,2025-10-29 21:05:39.752311254,Done,2025-10-29 14:56:08.286868974,2025-10-30 00:18:00,6,15.5,157.6,0,2,240,N,24.3,API Dependency,,N/A,Client Ops
LUANTA-2006,Post-mortem report for API downtime event,Product Manager,Sam,P2-Medium,2025-11-03,2025-11-03 22:37:44.508685422,Done,2025-11-03 13:30:22.618002707,2025-11-04 01:00:00,12,12.3,2.6,0,0,120,N,25.0,API Dependency,,N/A,Client Ops
LUANTA-2025,WebSocket disconnection issue on iOS,Frontend,Ethan,P1-High,2025-11-03,2025-11-03 20:37:45.682672771,Done,2025-11-03 15:04:40.458173669,2025-11-04 09:06:00,15,16.5,9.8,0,0,72,N,33.1,Spec / Requirement,,MG HQ,Client Ops
LUANTA-2010,Integration of new promotional banners,Frontend,Ethan,P2-Medium,2025-11-06,2025-11-06 07:27:59.160743028,Done,2025-11-06 06:37:59.230112742,2025-11-06 10:00:00,5,6.6,31.0,0,1,120,N,10.0,API Dependency,,PSP Vendor,Finance
LUANTA-2187,Game Asset loading speed improvement,Frontend,Ethan,P0-Critical,2025-11-06,2025-11-06 10:31:26.261637420,Done,2025-11-06 05:11:36.516697233,2025-11-06 12:54:00,4,6.0,49.9,1,1,24,N,12.9,Game Feature / Content,,MG HQ,CS
LUANTA-2102,E-ticket module style customization,UI/UX,Sam,P1-High,2025-11-07,2025-11-07 05:22:05.854552420,Done,2025-11-07 03:00:26.500961600,2025-11-07 07:18:00,4,4.9,21.4,0,1,72,N,7.3,Spec / Requirement,,PSP Vendor,Finance
LUANTA-2052,Compliance audit for European regulators,Product Manager,Taylor,P3-Low,2025-11-09,2025-11-09 14:09:38.348620758,Done,2025-11-09 02:57:20.655373613,2025-11-09 15:06:00,7,8.8,26.0,0,1,240,N,15.1,Spec / Requirement,,Internal Platform,Client Ops
LUANTA-2055,WebSocket disconnection issue on iOS,Frontend,Ethan,P1-High,2025-11-10,2025-11-10 11:25:10.623538066,Done,2025-11-10 08:38:49.785920431,2025-11-10 14:24:00,9,9.9,10.0,0,0,72,N,14.4,Spec / Requirement,,PSP Vendor,Client Ops
LUANTA-2089,Mobile lobby UI rendering optimization,Frontend,Grace,P2-Medium,2025-11-13,2025-11-14 01:13:37.699661236,Done,2025-11-13 14:13:55.808520856,2025-11-14 03:48:00,10,13.0,29.8,0,0,120,N,27.8,Spec / Requirement,,MG HQ,N/A
LUANTA-2045,New Slot Game API end-point validation,Backend,Alex,P1-High,2025-11-13,2025-11-13 12:47:41.871882602,In Progress,2025-11-13 06:12:46.401373338,,7,10.0,42.9,1,2,72,N,,API Dependency,,Internal Platform,N/A
LUANTA-2138,E-ticket module style customization,UI/UX,Taylor,P3-Low,2025-11-14,2025-11-14 17:28:54.414231308,Review,2025-11-14 04:38:51.137571095,,15,17.5,16.3,0,1,240,N,,Spec / Requirement,,MG HQ,N/A
LUANTA-2127,WebSocket disconnection issue on iOS,Frontend,Ethan,P3-Low,2025-11-16,2025-11-17 01:15:07.587056779,Done,2025-11-16 20:46:35.080434210,2025-11-17 02:12:00,14,16.0,14.2,0,1,240,N,26.2,Spec / Requirement,,PSP Vendor,Client Ops
LUANTA-2140,Post-mortem report for API downtime event,Product Manager,Taylor,P2-Medium,2025-11-16,2025-11-17 02:42:54.671179942,Done,2025-11-16 12:43:47.718233206,2025-11-17 08:00:00,11,14.6,33.1,0,0,120,N,32.0,API Dependency,,MG HQ,N/A
LUANTA-2195,MG Wallet API Integration for Operator A,Backend,Ben,P1-High,2025-11-26,2025-11-27 15:57:16.787088622,Done,2025-11-27 03:04:53.598226286,2025-11-27 18:30:00,10,20.3,102.6,0,1,72,N,42.5,API Dependency,,MG HQ,CS
LUANTA-2094,Bonus system calculation logic fix,Backend,Ben,P3-Low,2025-11-26,2025-11-27 09:52:00.734299982,Done,2025-11-26 10:18:52.411640888,2025-11-27 22:00:00,11,23.6,114.4,0,2,240,N,46.0,Spec / Requirement,,Internal Platform,CS
LUANTA-2129,Q3 Roadmap planning and stakeholder review,Product Manager,Sam,P1-High,2025-11-27,2025-11-27 17:01:47.713752076,Done,2025-11-27 14:52:06.829362836,2025-11-27 21:18:00,10,10.2,2.1,0,1,72,N,21.3,Spec / Requirement,,N/A,Client Ops
LUANTA-2109,Game Asset loading speed improvement,Frontend,Fiona,P2-Medium,2025-12-01,2025-12-01 13:58:33.988663599,Done,2025-12-01 04:32:27.479479711,2025-12-01 17:12:00,6,8.2,36.2,0,0,120,N,17.2,Game Feature / Content,,Compliance,N/A
LUANTA-2110,Compliance audit for European regulators,Product Manager,Sam,P2-Medium,2025-12-01,2025-12-01 13:21:12.352450518,Done,2025-12-01 04:32:09.187598043,2025-12-01 20:48:00,10,12.1,20.9,0,1,120,N,20.8,Spec / Requirement,,MG HQ,Finance
LUANTA-2119,New player registration flow optimization,UI/UX,Taylor,P1-High,2025-12-03,2025-12-03 10:42:28.210096069,Done,2025-12-03 08:34:48.218263604,2025-12-03 14:06:00,7,9.3,32.2,0,1,72,N,14.1,Spec / Requirement,,MG HQ,Client Ops
LUANTA-2012,Cross-border payment gateway callback issue,Backend,Derek,P1-High,2025-12-04,2025-12-05 14:17:26.263439588,Done,2025-12-05 08:07:06.537639505,2025-12-05 15:36:00,11,20.1,82.8,0,1,72,N,39.6,API Dependency,,PSP Vendor,Client Ops
LUANTA-2040,Database deadlock investigation during peak hours,Backend,Ben,P1-High,2025-12-04,2025-12-05 03:36:56.109006457,Done,2025-12-04 09:37:26.830655533,2025-12-05 08:24:00,9,17.4,93.8,2,2,72,N,32.4,Data / DB,,Compliance,Finance
LUANTA-2086,Compliance audit for European regulators,Product Manager,Sam,P3-Low,2025-12-08,2025-12-08 05:50:15.802464771,Done,2025-12-08 03:05:14.430357513,2025-12-08 08:42:00,4,5.5,37.9,0,1,240,N,8.7,Spec / Requirement,,Compliance,Client Ops
LUANTA-2162,Q3 Roadmap planning and stakeholder review,Product Manager,Sam,P2-Medium,2025-12-10,2025-12-10 04:55:41.279172362,Done,2025-12-10 03:30:57.452345820,2025-12-10 06:42:00,4,5.2,31.2,0,1,120,N,6.7,Spec / Requirement,,N/A,Finance
LUANTA-2157,Bonus system calculation logic fix,Backend,Ben,P1-High,2025-12-12,2025-12-13 04:29:11.740857792,Review,2025-12-12 23:12:44.902750049,,9,21.6,140.5,0,1,72,N,,Spec / Requirement,,PSP Vendor,Finance
LUANTA-2060,User experience audit for sports betting module,UI/UX,Sam,P2-Medium,2025-12-12,2025-12-12 16:02:28.101647475,Done,2025-12-12 07:27:52.321823429,2025-12-13 02:18:00,13,18.0,38.5,0,0,120,N,26.3,Spec / Requirement,,MG HQ,N/A
LUANTA-2032,Casino lobby dark mode design,UI/UX,Sam,P1-High,2025-12-15,2025-12-15 16:24:34.677718153,Done,2025-12-15 09:13:14.867235375,2025-12-15 16:54:00,7,7.9,13.0,0,1,72,N,16.9,Spec / Requirement,,MG HQ,Client Ops
LUANTA-2058,New Slot Game API end-point validation,Backend,Derek,P1-High,2025-12-16,2025-12-16 17:36:42.459290791,Review,2025-12-16 12:39:59.143024460,,10,15.7,56.6,0,0,72,N,,API Dependency,,MG HQ,CS
LUANTA-2077,MG Wallet API Integration for Operator A,Backend,Alex,P2-Medium,2025-12-21,2025-12-21 07:48:30.785446288,QA,2025-12-21 05:33:29.121689481,2025-12-21 10:48:00,4,8.2,104.1,0,2,120,N,10.8,API Dependency,,MG HQ,N/A
LUANTA-2075,MG Wallet API Integration for Operator A,Backend,Ben,P2-Medium,2025-12-23,2025-12-24 20:29:15.779259686,Done,2025-12-24 09:16:48.068679452,2025-12-25 05:00:00,11,26.1,136.8,2,3,120,N,53.0,API Dependency,,N/A,N/A
LUANTA-2066,Database deadlock investigation during peak hours,Backend,Derek,P2-Medium,2025-12-23,2025-12-24 02:57:02.816922668,Blocked,2025-12-23 16:08:32.172565399,,13,33.0,153.9,2,3,120,N,,Data / DB,Dependency on upstream service release,PSP Vendor,N/A
LUANTA-2018,Game Asset loading speed improvement,Frontend,Grace,P1-High,2025-12-25,2025-12-25 15:04:39.458870310,Done,2025-12-25 04:07:10.807365021,2025-12-25 21:12:00,12,15.4,28.4,0,0,72,N,21.2,Game Feature / Content,,N/A,Client Ops
LUANTA-2034,Q3 Roadmap planning and stakeholder review,Product Manager,Sam,P2-Medium,2025-12-26,2025-12-27 01:12:09.730251342,Done,2025-12-26 20:59:18.023035316,2025-12-27 04:36:00,14,15.9,13.6,0,0,120,N,28.6,Spec / Requirement,,Internal Platform,N/A
LUANTA-2153,E-ticket module style customization,UI/UX,Sam,P1-High,2025-12-29,2025-12-30 04:20:11.265310896,Done,2025-12-29 22:50:10.958030331,2025-12-30 09:12:00,13,16.0,23.4,0,0,72,N,33.2,Spec / Requirement,,Internal Platform,N/A
LUANTA-2161,New Slot Game API end-point validation,Backend,Ben,P2-Medium,2025-12-30,2025-12-30 14:05:47.968015351,Done,2025-12-30 10:41:40.869805299,2025-12-30 14:12:00,6,10.2,69.8,1,2,120,N,14.2,API Dependency,,Internal Platform,Finance
LUANTA-2198,New player registration flow optimization,UI/UX,Taylor,P2-Medium,2025-12-31,2025-12-31 20:36:35.556976353,Done,2025-12-31 05:33:45.657875055,2026-01-01 00:18:00,13,16.1,23.5,0,0,120,N,24.3,Spec / Requirement,,N/A,Finance
